optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
pure_adamw,structured_grid,0.125,0.25,5,1.145482460635693,0.00046883689398034,6.506464314501816e-05,5,0.00043233871659853484,0.0005604513325558891
pure_adamw,structured_grid,0.125,0.375,5,1.1454651537461178,0.0004861437835554483,4.2977585434319e-05,5,0.00045204472076698643,0.000539375581475543
pure_adamw,structured_grid,0.125,0.5,5,1.1454680424249266,0.00048325510474671595,5.412604052593586e-05,5,0.0004231057585197817,0.0005453101821697448
pure_adamw,structured_grid,0.125,0.625,5,1.1455077134856986,0.0004435840439747984,6.574092252269599e-05,5,0.00037063199250497725,0.0005156963461345754
pure_adamw,structured_grid,0.125,0.75,5,1.1455698941473393,0.00038140338233385587,6.728664462784465e-05,5,0.0003065662572949712,0.0004591709520056497
pure_adamw,structured_grid,0.125,0.875,5,1.1456856117849041,0.00026568574476915074,7.343443979105348e-05,5,0.00018699546083111862,0.00035363512425279353
pure_adamw,structured_grid,0.125,1.0,5,1.1458242224241288,0.00012707510554434975,6.457656651923373e-05,5,4.593372765415715e-05,0.00018892060054942483
pure_adamw,structured_grid,0.25,0.0,5,1.1453650216920914,0.0005862758375817289,8.870829650222924e-05,5,0.0005189411710593284,0.0006936976004814355
pure_adamw,structured_grid,0.25,0.125,5,1.1452945309658933,0.0006567665637800424,8.872327768739461e-05,5,0.0006030219687318539,0.0007742433604223109
pure_adamw,structured_grid,0.25,0.25,5,1.145247775008793,0.0007035225208802398,9.10565045837705e-05,5,0.0006379185929865638,0.0008202136603707721
pure_adamw,structured_grid,0.25,0.375,5,1.145229652776032,0.0007216447536412928,9.259454162850279e-05,5,0.0006304188449526293,0.0008315299231016482
pure_adamw,structured_grid,0.25,0.5,5,1.14524642936322,0.0007048681664532985,0.00010015268465898298,5,0.0005965752153975767,0.0008105603422623453
pure_adamw,structured_grid,0.25,0.625,5,1.1452929573863262,0.0006583401433470027,0.00011113307312471838,5,0.0005393676621698873,0.0007816542469263332
pure_adamw,structured_grid,0.25,0.75,5,1.145368821826518,0.0005824757031555272,9.640601498953542e-05,5,0.0004818907221182389,0.0006887990732873384
pure_adamw,structured_grid,0.25,0.875,5,1.145476655711882,0.0004746418177913103,0.00011508817841580225,5,0.00036159299326210537,0.0006159967529295596
pure_adamw,structured_grid,0.25,1.0,5,1.1456439130265774,0.00030738450309573115,0.00010518657393740062,5,0.00018250556847720922,0.0004177581556086274
pure_adamw,structured_grid,0.375,0.0,5,1.1451854606275602,0.0007658369021130706,0.00011804606937598194,5,0.0006759315167352842,0.0009023466416306913
pure_adamw,structured_grid,0.375,0.125,5,1.1451122910708478,0.0008390064588255086,0.00011679592105739371,5,0.0007401161165505599,0.0009750023750627612
pure_adamw,structured_grid,0.375,0.25,5,1.145074471707489,0.0008768258221842462,0.00012516778768734659,5,0.0007717990638689276,0.0010326330921595073
