name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.7.attn.c_q.weight,7,attn_qkv,attn,589824,768x768,1,0.0416727177798748,0.20069204696587153,0.8280578539393227,0.1446751429713815,0.8416913554839707
transformer.h.7.attn.c_k.weight,7,attn_qkv,attn,589824,768x768,1,0.04149949550628662,0.2005551712853568,0.8285532104943522,0.14536091359146527,0.8415961484514434
transformer.h.7.attn.c_v.weight,7,attn_qkv,attn,589824,768x768,1,0.028185782954096794,0.16493738549096243,0.854052814164991,0.06312474525612273,0.8954640344544341
transformer.h.7.attn.c_proj.weight,7,attn_out,attn,589824,768x768,1,0.03367536514997482,0.18666002792971476,0.8471631603108116,0.09043748256614448,0.8783628388723336
transformer.h.7.attn.ve_gate.weight,7,attn_aux,attn,72,6x12,0,9.240864528692327e-06,1.8208314681292643e-05,0.6633464171004847,0.28569903810894737,0.6888236894957687
transformer.h.7.mlp.c_fc.weight,7,mlp_up,mlp,2359296,3072x768,0,0.1541663259267807,0.7660129581178937,0.8324605556765653,0.1385227410174081,0.8469689073295785
transformer.h.7.mlp.c_proj.weight,7,mlp_down,mlp,2359296,768x3072,0,0.15573401749134064,0.7484683735030038,0.8277664170738576,0.14286467543290812,0.8424508708204748
transformer.h.8.attn.c_q.weight,8,attn_qkv,attn,589824,768x768,1,0.043325845152139664,0.20069850981235504,0.822452782803407,0.15259114466026955,0.8349308190715687
transformer.h.8.attn.c_k.weight,8,attn_qkv,attn,589824,768x768,1,0.04063806310296059,0.19586282755647386,0.8281695134861875,0.13345634647375546,0.847356583506216
transformer.h.8.attn.c_v.weight,8,attn_qkv,attn,589824,768x768,1,0.024603813886642456,0.14848060586622783,0.8578507879462995,0.04686995528426204,0.9054904163310187
transformer.h.8.attn.c_proj.weight,8,attn_out,attn,589824,768x768,1,0.034171488136053085,0.19111766346863338,0.8483216440176685,0.08955896915643237,0.8793813374306181
transformer.h.8.mlp.c_fc.weight,8,mlp_up,mlp,2359296,3072x768,0,0.15571175515651703,0.781903258391789,0.8339278350852743,0.13609088449600218,0.8489184752946362
transformer.h.8.mlp.c_proj.weight,8,mlp_down,mlp,2359296,768x3072,0,0.15907882153987885,0.7671528799193246,0.8282515905153506,0.14315157045226043,0.8425500100315451
transformer.h.9.attn.c_q.weight,9,attn_qkv,attn,589824,768x768,1,0.043976955115795135,0.20578475083623612,0.8239243484177624,0.15487816719603148,0.8345230906108654
transformer.h.9.attn.c_k.weight,9,attn_qkv,attn,589824,768x768,1,0.04494396224617958,0.207971385547093,0.82229642195176,0.1616791357770707,0.8303086430873446
transformer.h.9.attn.c_v.weight,9,attn_qkv,attn,589824,768x768,1,0.029936235398054123,0.1688885454620634,0.8494340832739775,0.08018606962001358,0.884624006826982
transformer.h.9.attn.c_proj.weight,9,attn_out,attn,589824,768x768,1,0.040828630328178406,0.2027349727494376,0.8323697391060206,0.13640063398738142,0.8479845525593196
transformer.h.9.attn.ve_gate.weight,9,attn_aux,attn,72,6x12,0,5.080713890492916e-06,1.7965803116177475e-05,0.7795452610465001,0.12287407412537121,0.8283355934605645
transformer.h.9.mlp.c_fc.weight,9,mlp_up,mlp,2359296,3072x768,0,0.16036802530288696,0.7937767420496259,0.8319248495719745,0.13863379347968632,0.8466455280461441
transformer.h.9.mlp.c_proj.weight,9,mlp_down,mlp,2359296,768x3072,0,0.16074012219905853,0.7769055111067635,0.8285704998888086,0.14120855694063886,0.8436809714740849
transformer.h.10.attn.c_q.weight,10,attn_qkv,attn,589824,768x768,1,0.0449431836605072,0.20437280620847428,0.8197340504147954,0.16046996552111845,0.8296320424468384
transformer.h.10.attn.c_k.weight,10,attn_qkv,attn,589824,768x768,1,0.04448149353265762,0.20390725987298147,0.8209198567858839,0.16121672751669397,0.829851564634595
transformer.h.10.attn.c_v.weight,10,attn_qkv,attn,589824,768x768,1,0.029068533331155777,0.16508852796895163,0.8502834090271653,0.07732620534816548,0.8864786018394999
transformer.h.10.attn.c_proj.weight,10,attn_out,attn,589824,768x768,1,0.03768282011151314,0.19964465711797988,0.8412201547354996,0.11342679080652655,0.8638966819644865
transformer.h.10.mlp.c_fc.weight,10,mlp_up,mlp,2359296,3072x768,0,0.15819451212882996,0.7824279069900513,0.8318193263169114,0.1400959882379503,0.8458616690394805
transformer.h.10.mlp.c_proj.weight,10,mlp_down,mlp,2359296,768x3072,0,0.16109220683574677,0.7729919978550502,0.8275399519371255,0.14500184142426834,0.8412690552564286
transformer.h.11.attn.c_q.weight,11,attn_qkv,attn,589824,768x768,1,0.043506406247615814,0.20528505529676164,0.8251290218018374,0.15249693075592327,0.836316045522957
transformer.h.11.attn.c_k.weight,11,attn_qkv,attn,589824,768x768,1,0.04258102923631668,0.20128087912287032,0.8253887639819557,0.14868395939092863,0.8383524022955136
transformer.h.11.attn.c_v.weight,11,attn_qkv,attn,589824,768x768,1,0.02962014079093933,0.175457735146795,0.8555663761607684,0.06274231418936466,0.8964120309857019
transformer.h.11.attn.c_proj.weight,11,attn_out,attn,589824,768x768,1,0.04204019904136658,0.20305376393454416,0.8284731352379392,0.14483374455774353,0.8418196953400978
transformer.h.11.attn.ve_gate.weight,11,attn_aux,attn,72,6x12,0,4.1894809328368865e-06,1.940731713797764e-05,0.8224555331505504,0.07664258321035206,0.8729064749700992
transformer.h.11.mlp.c_fc.weight,11,mlp_up,mlp,2359296,3072x768,0,0.16881532967090607,0.8140384299414498,0.8282396256616162,0.1461706508883883,0.841034487386614
transformer.h.11.mlp.c_proj.weight,11,mlp_down,mlp,2359296,768x3072,0,0.16025996208190918,0.7905591300555638,0.8314506267205474,0.13732924038976987,0.8470606931653888
