optimizer,stream_seed,baseline_id,candidate_id,gain_vs_baseline
pure_adamw,307103,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.00012650940216474282
pure_adamw,318203,scalar|alpha=0.500,complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,0.0001645139881498725
pure_adamw,240503,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,2.543684969102955e-05
pure_adamw,251603,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,4.257231595827804e-05
pure_adamw,262703,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,6.62121733223664e-05
pure_adamw,273803,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,4.274067690301919e-05
pure_adamw,284903,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,5.619870839601582e-05
pure_adamw,296003,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,6.194889051314156e-05
pure_adamw,307103,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,2.9344106387885205e-05
pure_adamw,318203,scalar|alpha=0.500,depth_half_rest|early=0.650|late=0.550|rest=0.250,6.294283255714461e-05
pure_adamw,240503,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,1.6613368347240254e-05
pure_adamw,251603,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,6.778823429298697e-05
pure_adamw,262703,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,9.687643950018199e-05
pure_adamw,273803,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,4.807319567889934e-05
pure_adamw,284903,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,5.4681048323956816e-05
pure_adamw,296003,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,6.666655385867415e-05
pure_adamw,307103,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,1.947811415137224e-05
pure_adamw,318203,scalar|alpha=0.500,depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,4.155644383230239e-05
pure_adamw,240503,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,1.4825682011831987e-05
pure_adamw,251603,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,6.292201190816193e-05
pure_adamw,262703,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,6.85402337348151e-05
pure_adamw,273803,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,5.79240415272686e-05
pure_adamw,284903,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,5.363511295697343e-05
pure_adamw,296003,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,4.5069068317138417e-05
pure_adamw,307103,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,3.9113864110928986e-05
pure_adamw,318203,scalar|alpha=0.500,functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,5.215125878188509e-05
pure_adamw,240503,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,1.9168287736626155e-05
pure_adamw,251603,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,6.401331166561164e-05
pure_adamw,262703,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,8.765751881378847e-05
pure_adamw,273803,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,3.79453909580274e-05
pure_adamw,284903,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,6.664171858661305e-05
pure_adamw,296003,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,5.885336580258027e-05
pure_adamw,307103,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,2.0170264309449237e-05
pure_adamw,318203,scalar|alpha=0.500,hidden_rest|hidden=0.625|rest=0.250,3.6216895073382105e-05
pure_adamw,240503,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,2.698823169478004e-05
pure_adamw,251603,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,6.383521395325609e-05
pure_adamw,262703,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,8.102865986026053e-05
pure_adamw,273803,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,3.537519373497666e-05
pure_adamw,284903,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,5.924064887130598e-05
pure_adamw,296003,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,4.4635829579142694e-05
pure_adamw,307103,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,3.107372971755673e-05
pure_adamw,318203,scalar|alpha=0.500,input_write_rest|input=0.650|rest=0.250|write=0.550,4.469865211409463e-05
pure_adamw,240503,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,2.870097054552545e-05
pure_adamw,251603,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,5.940248196178999e-05
pure_adamw,262703,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,9.147984604274129e-05
pure_adamw,273803,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,3.811090460970057e-05
pure_adamw,284903,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,4.331841144344928e-05
pure_adamw,296003,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,5.0600554246216234e-05
pure_adamw,307103,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,3.227279238826597e-05
pure_adamw,318203,scalar|alpha=0.500,layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,7.13301826529289e-05
pure_adamw,240503,scalar|alpha=0.500,module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,1.7653507627279907e-05
pure_adamw,251603,scalar|alpha=0.500,module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,7.023549463469614e-05
