candidate_id,family,mean_gain_vs_raw,se_gain_vs_raw,lo95_gain_vs_raw,hi95_gain_vs_raw,mean_gain_vs_scalar,se_gain_vs_scalar,lo95_gain_vs_scalar,hi95_gain_vs_scalar
module_layer_scan|base=0.650|layer=6|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002164361525705721,8.674918310674516e-05,0.001959199707658269,0.0023695233437531736,9.412776265695783e-05,2.120454534765929e-05,4.39790129097436e-05,0.00014427651240417206
layer_scan|base=0.650|layer=8|rest=0.250|target=0.450,layer_scan,0.002163974990428572,8.408624532955914e-05,0.0019651110202241646,0.0023628389606329793,9.374122737980861e-05,2.1045893870228818e-05,4.396768837671745e-05,0.00014351476638289976
module_layer_scan|base=0.650|layer=7|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.0021636782473620168,8.299811187176388e-05,0.0019673877127852953,0.002359968781938738,9.344448431325338e-05,2.190060544705472e-05,4.164955243096896e-05,0.0001452394161955378
module_layer_scan|base=0.650|layer=11|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021635535813191676,8.844119282286369e-05,0.001954390160293095,0.00237271700234524,9.331981827040425e-05,2.336404609341975e-05,3.806384925946654e-05,0.00014857578728134197
module_layer_scan|base=0.650|layer=10|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021635256153518714,8.738612916606555e-05,0.001956857419874126,0.0023701938108296166,9.329185230310798e-05,2.283588139409976e-05,3.928499280606205e-05,0.00014729871180015392
module_layer_scan|base=0.650|layer=2|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.0021630271582769723,8.682767652046027e-05,0.001957679703306084,0.002368374613247861,9.279339522820897e-05,2.152827030654922e-05,4.187903595322006e-05,0.00014370775450319787
module_layer_scan|base=0.650|layer=1|module=attn|rest=0.250|target=0.450,module_layer_scan,0.0021624402631531766,8.144567914349638e-05,0.0019698212319788078,0.0023550592943275455,9.220650010441324e-05,1.8962587769815257e-05,4.735998002880015e-05,0.00013705302018002631
module_layer_scan|base=0.650|layer=10|module=attn|rest=0.250|target=0.850,module_layer_scan,0.002161940303150894,8.499143496276076e-05,0.0019609355594639648,0.002362945046837823,9.170654010213055e-05,2.1841014793175914e-05,4.005254011626951e-05,0.0001433605400879916
module_layer_scan|base=0.650|layer=2|module=mlp|rest=0.250|target=0.450,module_layer_scan,0.0021617244042623895,8.338688021753245e-05,0.001964514432547925,0.002358934375976854,9.14906412136261e-05,1.922224047339902e-05,4.603004249403741e-05,0.00013695123993321477
module_layer_scan|base=0.650|layer=3|module=attn|rest=0.250|target=0.450,module_layer_scan,0.002161652848286952,8.458060871348085e-05,0.00196161970867957,0.002361685987894334,9.14190852381886e-05,2.0743578604719036e-05,4.236052183802808e-05,0.00014047764863834913
complement_split|embedding=0.300|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,0.0021616407411987706,8.405146939562976e-05,0.0019628590160781063,0.002360422466319435,9.140697815000721e-05,2.0303552345787864e-05,4.338907685221891e-05,0.0001394248794477955
layer_scan|base=0.650|layer=6|rest=0.250|target=0.450,layer_scan,0.002161499911647901,8.609562691351091e-05,0.001957883753997448,0.0023651160692983544,9.126614859913777e-05,2.2609110792920956e-05,3.7795601573879706e-05,0.00014473669562439583
module_layer_scan|base=0.650|layer=7|module=mlp|rest=0.250|target=0.850,module_layer_scan,0.002161349280066658,8.534220348695496e-05,0.0019595149688200098,0.0023631835913133065,9.111551701789476e-05,2.0851429031125558e-05,4.1801887359282816e-05,0.0001404291466765067
attn_mlp_rest|attn=0.550|mlp=0.550|rest=0.250,attn_mlp_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
depth_half_rest|early=0.550|late=0.550|rest=0.250,depth_half_rest,0.002160953244869045,7.20774561289442e-05,0.001990490061124092,0.002331416428613998,9.071948182028155e-05,1.2237180304215192e-05,6.177855040081262e-05,0.00011966041323975047
