optimizer,floor,alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.1,1.0,5,0.0006910549916643749,0.0002779725319794064,0.00041308245968496853,0.0009690275236437813,5
native,0.15,0.0,5,0.0,0.0,0.0,0.0,0
native,0.15,0.05,5,0.0007765485819254625,3.6003830037905894e-05,0.0007405447518875567,0.0008125524119633684,5
native,0.15,0.1,5,0.001505123058209179,5.0804497138531666e-05,0.0014543185610706472,0.0015559275553477107,5
native,0.15,0.15,5,0.002179071041583924,6.637758167276397e-05,0.00211269345991116,0.002245448623256688,5
native,0.15,0.2,5,0.002777982741889451,7.004718424819925e-05,0.0027079355576412516,0.0028480299261376503,5
native,0.15,0.25,5,0.003314231485668895,6.968339811082796e-05,0.003244548087558067,0.0033839148837797226,5
native,0.15,0.3,5,0.003789588108347752,0.00010773072437740984,0.0036818573839703423,0.003897318832725162,5
native,0.15,0.35,5,0.004202179238319647,0.00011071230163874438,0.004091466936680903,0.0043128915399583915,5
native,0.15,0.4,5,0.004565154752134326,0.00012143375095433276,0.004443721001179994,0.004686588503088659,5
native,0.15,0.45,5,0.004876851752674405,0.0001326655285140158,0.004744186224160389,0.005009517281188421,5
native,0.15,0.5,5,0.005120463075450265,0.0001388853818621362,0.004981577693588129,0.005259348457312402,5
native,0.15,0.55,5,0.005311576833436149,0.0001547883410419875,0.005156788492394162,0.005466365174478137,5
native,0.15,0.6,5,0.005431056544311197,0.0001306571932134395,0.0053003993510977575,0.005561713737524636,5
native,0.15,0.65,5,0.005519034212403406,0.00015198101505044159,0.005367053197352965,0.005671015227453848,5
native,0.15,0.7,5,0.005542964329409017,0.00016647879401737901,0.0053764855353916376,0.005709443123426396,5
native,0.15,0.75,5,0.005521481510271498,0.00017871409608853766,0.0053427674141829605,0.005700195606360035,5
native,0.15,0.8,5,0.00544891196902153,0.0002263320131807008,0.00522257995584083,0.005675243982202231,5
native,0.15,0.85,5,0.005319848373576885,0.00023852994080880816,0.005081318432768077,0.005558378314385693,5
