stream_seed,recipe,bpb,gain_vs_raw
4403,tsa:k16:s16:a0.550,1.0546733344157815,0.0023074093682711183
4403,lawa:k16:s16:a1.000,1.0561693111464083,0.0008114326376442715
4403,tsa:k16:s32:a0.550,1.0544172361689264,0.002563507615126248
4403,lawa:k16:s32:a1.000,1.0572521399368588,-0.00027139615280624696
4403,tsa:k16:s64:a0.550,1.0552948547611762,0.0016858890228763634
4403,lawa:k16:s64:a1.000,1.0616391386734263,-0.004658394889373696
4403,ewa:beta0.50:k8:s32,1.0549683796863467,0.0020123640977058876
4403,ewa:beta0.75:k8:s32,1.0548410228396792,0.0021397209443734244
4403,ewa:beta0.90:k8:s32,1.0553810130763839,0.0015997307076687228
4403,ewa:beta0.95:k8:s32,1.0556463876056064,0.0013343561784462388
4403,ema:0.95:16:16,1.0555854385481458,0.0013953052359068074
4403,swastyle:32:16,1.0573555762700801,-0.00037483248602754315
4403,adaptive:hybrid:8:32:1.0:all,1.0547861206287281,0.002194623155324482
4403,adaptive:hybrid:8:32:1.0:muon,1.054979051546927,0.002001692237125541
5503,raw,1.057173976947708,0.0
5503,tsa:k4:s16:a0.550,1.0558662067858229,0.0013077701618851023
5503,lawa:k4:s16:a1.000,1.0560289332360537,0.0011450437116542478
5503,tsa:k4:s32:a0.550,1.0553527589796066,0.0018212179681014184
5503,lawa:k4:s32:a1.000,1.055725357454505,0.0014486194932030738
5503,tsa:k4:s64:a0.550,1.0551896369354279,0.0019843400122800947
5503,lawa:k4:s64:a1.000,1.0562021173340976,0.0009718596136103486
5503,tsa:k8:s16:a0.550,1.0552379653183983,0.0019360116293096752
5503,lawa:k8:s16:a1.000,1.0558822620930541,0.001291714854653847
5503,tsa:k8:s32:a0.550,1.0549850489119965,0.002188928035711468
5503,lawa:k8:s32:a1.000,1.0563625774543037,0.0008113994934042523
5503,tsa:k8:s64:a0.550,1.0548616206725328,0.0023123562751752313
5503,lawa:k8:s64:a1.000,1.057563622858029,-0.0003896459103209793
5503,tsa:k16:s16:a0.550,1.0549388741250274,0.002235102822680579
5503,lawa:k16:s16:a1.000,1.0565335049543243,0.0006404719933836844
5503,tsa:k16:s32:a0.550,1.0547405004005048,0.0024334765472031616
5503,lawa:k16:s32:a1.000,1.0576643853467063,-0.0004904083989982766
5503,tsa:k16:s64:a0.550,1.0556644744729466,0.0015095024747613373
5503,lawa:k16:s64:a1.000,1.062274813595087,-0.005100836647379037
5503,ewa:beta0.50:k8:s32,1.055262223252525,0.0019117536951829273
5503,ewa:beta0.75:k8:s32,1.0551413168676174,0.0020326600800906203
