optimizer,floor,eval_kind,alpha_group,alpha_other,n,mean_gain_vs_raw,gain_ci95_half,positive_seed_count
native,0.1,structured_grid_diagnostic,0.375,0.5,5,0.001893064934097044,0.00012620876025756686,5
native,0.1,structured_grid_diagnostic,0.375,0.625,5,0.0018375417694446838,0.00012140336968303828,5
native,0.1,structured_grid_diagnostic,0.375,0.75,5,0.0017467221245962782,0.00014228780645342764,5
native,0.1,structured_grid_diagnostic,0.375,0.875,5,0.001604113770934612,0.00017433203368199664,5
native,0.1,structured_grid_diagnostic,0.375,1.0,5,0.0014260672145607778,0.00018924095506390128,5
native,0.1,structured_grid_diagnostic,0.5,0.0,5,0.001959731093829342,8.486453641520854e-05,5
native,0.1,structured_grid_diagnostic,0.5,0.125,5,0.00205190535262485,9.558581190969991e-05,5
native,0.1,structured_grid_diagnostic,0.5,0.25,5,0.0021153317873885413,0.00010564340744126225,5
native,0.1,structured_grid_diagnostic,0.5,0.375,5,0.002127923988699898,0.00013405544293770507,5
native,0.1,structured_grid_diagnostic,0.5,0.5,5,0.002102393385783552,0.00013616080802115384,5
native,0.1,structured_grid_diagnostic,0.5,0.625,5,0.002041768432906421,0.00013933574185407422,5
native,0.1,structured_grid_diagnostic,0.5,0.75,5,0.0019396541550694923,0.00016262459513665902,5
native,0.1,structured_grid_diagnostic,0.5,0.875,5,0.0017996607377767759,0.0001986603573861718,5
native,0.1,structured_grid_diagnostic,0.5,1.0,5,0.0016105714222404365,0.00020096557625328573,5
native,0.1,structured_grid_diagnostic,0.625,0.0,5,0.0020133121657652355,0.0001195219995554379,5
native,0.1,structured_grid_diagnostic,0.625,0.125,5,0.0020971029485427283,0.00012202908031863769,5
native,0.1,structured_grid_diagnostic,0.625,0.25,5,0.0021529694041376056,0.00012005586441835618,5
native,0.1,structured_grid_diagnostic,0.625,0.375,5,0.0021617861372335233,0.00015244138164290024,5
native,0.1,structured_grid_diagnostic,0.625,0.5,5,0.0021310314061897097,0.00015884221409624152,5
native,0.1,structured_grid_diagnostic,0.625,0.625,5,0.002057645505507377,0.0001632148561010069,5
native,0.1,structured_grid_diagnostic,0.625,0.75,5,0.0019615623884424505,0.00018550265099551936,5
