optimizer,alpha_group,alpha_other,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
pure_adamw,0.625,0.5,5,0.0009531727664444656,0.00018645487406801863,0.0007667178923764469,0.0011396276405124842,5
pure_adamw,0.625,0.625,5,0.0008797815216662564,0.00021122779165712096,0.0006685537300091354,0.0010910093133233772,5
pure_adamw,0.625,0.75,5,0.000773765362885559,0.00020691336433581694,0.0005668519985497421,0.000980678727221376,5
pure_adamw,0.625,0.875,5,0.000640804052018984,0.0002136035142789329,0.0004272005377400511,0.0008544075662979169,5
pure_adamw,0.625,1.0,5,0.0004667317569510221,0.00020340988487785224,0.00026332187207316987,0.0006701416418288743,5
pure_adamw,0.75,0.0,5,0.0008934325650223673,0.00023471073783143224,0.000658721827190935,0.0011281433028537996,5
pure_adamw,0.75,0.125,5,0.0009488677855493232,0.00022472967790091838,0.0007241381076484049,0.0011735974634502417,5
pure_adamw,0.75,0.25,5,0.0009613815607166121,0.00022214438924135819,0.0007392371714752539,0.0011835259499579703,5
pure_adamw,0.75,0.375,5,0.0009367952613232866,0.00024545304147263703,0.0006913422198506496,0.0011822483027959236,5
pure_adamw,0.75,0.5,5,0.0009002898463130737,0.00023674046764880354,0.0006635493786642702,0.0011370303139618774,5
pure_adamw,0.75,0.625,5,0.0008280317143285032,0.0002377205489876706,0.0005903111653408325,0.0010657522633161737,5
pure_adamw,0.75,0.75,5,0.0007085126992423252,0.00022966108592555105,0.00047885161331677413,0.0009381737851678763,5
pure_adamw,0.75,0.875,5,0.000557685923489748,0.00023228332360315397,0.0003254025998865941,0.000789969247092902,5
pure_adamw,0.75,1.0,5,0.0003827064424734683,0.00023042993436480944,0.00015227650810865887,0.0006131363768382777,5
pure_adamw,0.875,0.0,5,0.0008067951295924747,0.0002625192363479354,0.0005442758932445393,0.00106931436594041,5
pure_adamw,0.875,0.125,5,0.0008425851579332733,0.0002725691538615917,0.0005700160040716816,0.001115154311794865,5
pure_adamw,0.875,0.25,5,0.0008552794955318799,0.0002497175498762571,0.0006055619456556227,0.001104997045408137,5
pure_adamw,0.875,0.375,5,0.0008317765896866724,0.0002634358020259568,0.0005683407876607156,0.0010952123917126293,5
pure_adamw,0.875,0.5,5,0.0007802159641815187,0.00028044870531809525,0.0004997672588634235,0.001060664669499614,5
pure_adamw,0.875,0.625,5,0.000683206927193547,0.00027884854911394534,0.00040435837807960165,0.0009620554763074923,5
pure_adamw,0.875,0.75,5,0.0005660805872070185,0.0002834574362281773,0.0002826231509788412,0.0008495380234351958,5
pure_adamw,0.875,0.875,5,0.00041688435171662876,0.0002860539711740668,0.00013083038054256195,0.0007029383228906956,5
pure_adamw,0.875,1.0,5,0.00022692550230045682,0.00028931802964732306,-6.239252734686624e-05,0.0005162435319477799,4
pure_adamw,1.0,0.0,5,0.0006404590139533096,0.00029628709236881415,0.0003441719215844954,0.0009367461063221237,5
pure_adamw,1.0,0.125,5,0.0006818126481245912,0.0003070904614040674,0.0003747221867205238,0.0009889031095286585,5
pure_adamw,1.0,0.25,5,0.0006803082340953726,0.00029847425398402724,0.0003818339801113453,0.0009787824880794,5
pure_adamw,1.0,0.375,5,0.0006481867328914426,0.00029901991505264035,0.0003491668178388022,0.0009472066479440829,5
pure_adamw,1.0,0.5,5,0.0005886135773125467,0.0003124880069201341,0.0002761255703924126,0.0009011015842326808,5
pure_adamw,1.0,0.625,5,0.000496141505505987,0.00031368695160752225,0.00018245455389846472,0.0008098284571135092,5
pure_adamw,1.0,0.75,5,0.0003758963924977987,0.0003129926203576014,6.290377214019732e-05,0.0006888890128554002,5
pure_adamw,1.0,0.875,5,0.00020121066635101493,0.0003171437542635384,-0.00011593308791252346,0.0005183544206145533,4
pure_adamw,1.0,1.0,5,1.3393284992124777e-05,0.0003289622946456428,-0.00031556900965351803,0.0003423555796377676,2
